time,ax,ay,az,atotal
2.18049407,-0.13,0.26,-1.02,1.06
2.196399212,-0.15,-0.31,8.05,8.05
2.199860096,-0.03,-1.94,15.76,15.87
2.210289001,0.42,-4.36,17.22,17.76
2.219847202,0.44,-4.63,10.32,11.31
2.230086088,-0.36,-1.14,3.59,3.78
2.241968155,-0.34,1.35,-0.66,1.54
2.250334024,-0.04,1.99,-3.6,4.11
2.260646105,0.19,1.52,-4.98,5.21
2.27029109,0.25,0.51,-5.18,5.21
2.279816151,0.25,-0.04,-4.15,4.15
2.296203136,0.24,-0.16,-1.99,2.01
2.299773216,0.19,-0.25,0.19,0.36
2.309581041,0,-0.16,1.7,1.7
2.319742203,-0.2,0.06,2.35,2.35
2.330579042,-0.25,0.17,2.09,2.11
2.341066122,-0.15,0.2,1.13,1.15
2.349798203,0.07,0.12,0.08,0.16
2.360263109,0.2,0.07,-0.67,0.7
2.369879246,0.18,0.12,-1.1,1.12
2.379465103,0.06,0.12,-1.17,1.17
2.39589119,-0.09,0.09,-0.8,0.81
2.399363995,-0.12,0.09,-0.11,0.18
2.409348965,-0.04,0.1,0.46,0.47
2.419331074,0.03,0.14,0.69,0.7
2.429399014,0.06,0.14,0.53,0.55
2.441507101,0.06,0.13,0.13,0.19
2.449491978,0.04,0.13,-0.25,0.28
2.459954023,0.03,0.11,-0.44,0.45
2.469110012,0.03,0.12,-0.44,0.45
2.482464075,0.02,0.12,-0.31,0.33
2.489126205,0.01,0.11,-0.11,0.15
2.499306202,0,0.08,0.1,0.12
2.508966923,0.03,0.07,0.21,0.22
2.519732952,0.09,0.09,0.17,0.21
2.529456139,0.11,0.13,0,0.17
2.539290905,0.06,0.13,-0.19,0.23
2.549427986,0,0.11,-0.22,0.24
2.559812069,-0.04,0.11,-0.16,0.19
2.569308043,-0.03,0.12,-0.09,0.15
2.583261967,0.01,0.13,-0.05,0.13
2.588799,0.02,0.12,-0.04,0.12
2.598865032,0.05,0.12,-0.04,0.13
2.609269142,0.06,0.11,-0.04,0.13
2.61916399,0.05,0.06,-0.04,0.08
2.629391193,0.02,0.03,-0.06,0.06
2.639194965,-0.01,0.04,-0.07,0.08
2.649780035,-0.02,0.03,-0.07,0.07
2.660398006,-0.01,0.04,-0.07,0.08
2.669659138,0.01,0.1,-0.09,0.13
2.684674025,0.04,0.14,-0.13,0.19
2.688755989,0.05,0.16,-0.12,0.2
2.699460983,0.06,0.11,-0.06,0.13
2.709874153,0.06,0.11,0,0.12
2.718952179,0.04,0.12,0.02,0.12
2.72906208,0.01,0.13,0.01,0.13
2.739103079,0,0.09,-0.04,0.09
2.748973131,-0.02,0.08,-0.09,0.12
2.760374069,-0.03,0.1,-0.14,0.17
2.768503189,-0.03,0.1,-0.17,0.19
2.781929016,-0.01,0.12,-0.15,0.19
2.788310051,0.01,0.15,-0.1,0.18
2.798370123,0.03,0.15,-0.04,0.15
2.809533119,0.06,0.11,0.02,0.12
2.81887722,0.04,0.07,0.06,0.1
2.828513145,0.02,0.08,0.05,0.09
2.838486195,0.01,0.05,-0.05,0.07
2.848372936,0.02,0.01,-0.14,0.14
2.859805107,0.03,0.01,-0.2,0.2
2.868255138,0.03,0.01,-0.19,0.19
2.882627964,0.02,0,-0.09,0.09
2.888059139,0.04,-0.01,-0.01,0.04
2.898768902,0.07,0.01,0,0.07
2.909313202,0.09,0.09,0,0.12
2.918548107,0.06,0.19,0.01,0.19
2.928637981,0.03,0.2,-0.04,0.2
2.938467026,-0.01,0.13,-0.08,0.15
2.948328972,-0.03,0.08,-0.11,0.13
2.960028172,-0.02,-0.01,-0.14,0.14
2.968061924,-0.02,-0.06,-0.12,0.13
2.982614994,0.01,-0.02,-0.11,0.11
2.987576962,0.03,0.09,-0.11,0.14
2.997705936,0.03,0.2,-0.05,0.2
3.008151054,0,0.27,0.06,0.27
3.018418074,-0.03,0.22,0.1,0.24
3.028340101,-0.02,0.18,0.03,0.18
3.038172245,0.03,0.14,-0.13,0.19
3.048201084,0.06,0.04,-0.23,0.24
3.058190107,0.08,-0.02,-0.22,0.23
3.068054199,0.1,-0.08,-0.14,0.18
3.082962036,0.1,-0.07,-0.02,0.12
3.08762002,0.06,-0.02,0.03,0.06
3.098088026,0.01,0.04,0.01,0.04
3.10781002,-0.04,0.1,-0.01,0.1
3.117986202,-0.02,0.12,-0.08,0.14
3.128036976,0.01,0.16,-0.12,0.2
3.137747049,0.06,0.15,-0.15,0.22
3.14786911,0.07,0.13,-0.11,0.18
3.158173084,0.07,0.09,-0.1,0.15
3.168417931,0.04,0.06,-0.08,0.1
3.184113979,0,0.03,-0.06,0.06
3.187332153,-0.01,0,-0.07,0.07
3.198037148,-0.01,0.01,-0.11,0.11
3.20768404,0.01,0.03,-0.16,0.16
3.217932224,0.04,0.06,-0.21,0.22
3.229001045,0.05,0.08,-0.16,0.18
3.237647057,0.06,0.02,-0.08,0.1
3.248487949,0.07,0.01,0.01,0.07
3.25798893,0.08,0.03,0.01,0.08
3.268165112,0.07,0.07,-0.05,0.11
3.284178257,0.06,0.1,-0.11,0.16
3.286957026,0.04,0.1,-0.13,0.16
3.296843052,-0.01,0.07,-0.06,0.09
3.307803154,-0.03,0.06,0.03,0.07
3.31755805,0.01,0.06,0.06,0.08
